Date,Description,Category,Cost,Currency,HNWxs2yUMnWtKQ34uFATiypDFb52,mmfgxAC2LZMXaZ7bvrjFKQrs3Ff1,RyVyjiM8NBahjo20Qg9NQACYvNu2,hilgA0LRoSfKeHRnRTxBhRYxY2B3

2023-08-09,SRP Deposit,General,290.00,USD,-72.50,-72.50,217.50,-72.50
2023-08-09,Extra Baggage,General,300.00,USD,200.00,-100.00,0.00,-100.00
2023-08-09,Walmart toiletries per month,Household supplies,104.17,USD,-26.04,-26.04,78.12,-26.04
2023-08-09,DELHI Palace meals,General,31.25,USD,-7.81,-7.81,23.44,-7.82
2023-08-09, Cox,TV/Phone/Internet,50.00,USD,-12.50,-12.50,37.50,-12.50
2023-08-10,Walmart common,Household supplies,314.40,USD,-78.60,-78.60,-78.60,235.80
2023-08-10,Saketh ,General,13.72,USD,0.00,0.00,-13.72,13.72
2023-08-10,Prudhvi,General,155.94,USD,-155.94,0.00,0.00,155.94
2023-08-10,Vishnu,General,192.24,USD,0.00,-192.24,0.00,192.24
2023-08-10,Patel Brothers ,Groceries,133.60,USD,60.20,-33.40,6.60,-33.40
2023-08-10,Subway,Dining out,22.06,USD,-5.52,16.55,-5.52,-5.51
2023-08-10,Subway meal,Dining out,3.00,USD,0.00,3.00,0.00,-3.00
2023-08-11,Topi,General,6.99,USD,-6.99,0.00,0.00,6.99
2023-08-12,Protein ,General,140.00,USD,0.00,70.00,0.00,-70.00
2023-08-15,Trader Joe's ,Groceries,10.18,USD,-2.54,7.63,-2.54,-2.55
2023-08-15,Soya,General,3.20,USD,-0.80,2.40,-0.80,-0.80
2023-08-15,Paneer tawa,General,3.00,USD,0.00,3.00,0.00,-3.00
2023-08-15,Walmart,Household supplies,11.12,USD,-2.78,8.34,-2.78,-2.78
2023-08-15,Bowl,General,4.50,USD,0.00,4.50,-2.25,-2.25
2023-08-15,Coffee mug,Dining out,1.20,USD,0.00,1.20,0.00,-1.20
2023-08-16,Light rail,Bus/train,4.00,USD,0.00,2.00,-2.00,0.00
2023-08-17,Bread/Bananas,Groceries,3.19,USD,-0.79,-0.80,2.39,-0.80
2023-08-18,Walmart common ,Household supplies,10.60,USD,-2.65,7.95,-2.65,-2.65
2023-08-18,Saketh wallmart ,General,18.20,USD,0.00,18.20,-18.20,0.00
2023-08-18,Keshav wallmart ,General,3.80,USD,0.00,3.80,0.00,-3.80
2023-08-18,Prudhvi's wallmart ,General,0.70,USD,-0.70,0.70,0.00,0.00
2023-08-21,Walmart desk Saketh,Household supplies,59.08,USD,0.00,59.08,-59.08,0.00
2023-08-21,Walmart kevshava's desk,Household supplies,81.50,USD,0.00,81.50,0.00,-81.50
2023-08-21,Wallmart keshava's desk,General,57.30,USD,0.00,57.30,0.00,-57.30
2023-08-22,Curd,Groceries,5.99,USD,-1.99,0.00,-2.00,3.99
2023-08-22,"Bread, milk and bananas",Groceries,9.00,USD,-2.25,-2.25,-2.25,6.75
2023-08-22,Coke,General,3.15,USD,1.58,0.00,0.00,-1.58
2023-08-23,Delhi palace,General,9.97,USD,-2.49,7.47,-2.49,-2.49
2023-08-24,Coffee table,Dining out,30.00,USD,-7.50,-7.50,-7.50,22.50
2023-08-24,CAVA,General,38.39,USD,-9.59,28.79,-9.60,-9.60
2023-08-24,Coke,General,2.71,USD,2.71,0.00,0.00,-2.71
2023-08-24,Trader joe groceries,Groceries,16.17,USD,12.12,-4.04,-4.04,-4.04
2023-08-25,Mission impossible ,General,12.00,USD,0.00,6.00,0.00,-6.00
2023-08-25,Oppenheimer ,General,36.50,USD,0.00,18.25,-18.25,0.00
2023-08-26,Walmart common,Household supplies,10.00,USD,-2.50,7.50,-2.50,-2.50
2023-08-26,Saketh walmart,Household supplies,8.46,USD,0.00,8.46,-8.46,0.00
